	2bit	3bit	4bit
100000010100011000000001100000111110000000100000000111001111	1.7122405441921758	2.4911934669534035	3.2214937292025354
100010100000000000000000111111100000001100001000000011111101	1.665905339933209	2.3645464039903694	2.9966167177655905
100010001100011000111000010000000001111000011000000011000101	1.7779887310739835	2.585107875863841	3.2038963730167973
100000000000000000000000000001110000001111000001011111111111	1.4636488292592815	1.9657530907487228	2.394281147713395
101000000000000000000001111111100000000000001110011111000101	1.6097785926330344	2.2383986878610873	2.735297522484081
100000100011010001100001000000000000010001111100000010011111	1.7494563273816994	2.5490805128820804	3.290563533756964
100000000000011111100000000000111000000000000001111110011011	1.5428607535863514	2.1042042518618693	2.641834745169002
100100000111111101000010000000001000011110000000000000001111	1.665905339933209	2.363399528192886	3.006552925222434
100000111110011000011100000000000011111100110000000000000001	1.6097785926330344	2.188243602452738	2.773630427411319
100000000001111100110010000000101000100001111000010000010011	1.7779887310739835	2.59640135917511	3.392418919460432
100110110000001000000000000000010000000111011000000111111101	1.7122405441921758	2.459960530254274	3.1257569002033083
111110000011110000000000010000000001110000001100000000011111	1.5428607535863514	2.151854722194641	2.737537362024295
101111111111100000000001111000000010000000000000000000000111	1.4636488292592815	1.9657530907487228	2.394281147713395
110000000000000000000000001110000010000001101111111000011111	1.5428607535863514	2.1664394324556078	2.7424268550554265
111111100111000110000000000000011100000011000000000010000011	1.6097785926330344	2.263218008411303	2.898936077511724
100000000111110000110010000011100000000001111100001001000001	1.7122405441921758	2.436507340405599	3.1820522941073843
100100011110011000001110000000000000001110000000000000111111	1.6097785926330344	2.250478783046476	2.8784404002365305
111000000000000000001001000000101001111110111111000000000001	1.665905339933209	2.3560942488925583	3.0016511148750507
111101111111110000000000000110100000010110000000000000000001	1.6097785926330344	2.2178265012719196	2.7843426935271443
100110000000000000000000000011110011001111111100001000000011	1.6097785926330344	2.250478783046476	2.8244604925924213
110111111000000000000000000000000000000111111111110000000001	1.3697693284703485	1.7478860049366842	2.069403106378089
100011111111000000000000001100000000000001000110101100100101	1.7494563273816994	2.5583151803083926	3.2913486744902736
111110000000000011001000000110000000011111111000000000001001	1.6097785926330344	2.2560896099308296	2.877706295324839
100000000000000000000001111110000111100001110000001111100001	1.5428607535863514	2.07099341295511	2.555250352803888
100000000100011111000001000000000000000000111111111110000001	1.5428607535863514	2.074437049855451	2.595434459039911
100000000010011000000001100000011111100000001110000111100001	1.665905339933209	2.334098805752543	3.022588823645414
100000000000000000000001100001100000111111111111110000000001	1.4636488292592815	1.917820219041696	2.321145090884915
111111000000000000000000000111000011100000001111111000000001	1.4636488292592815	1.9474872829349215	2.3983777812464417
100011110000000000000110001100001111100000000000100010001111	1.665905339933209	2.3618512277255914	3.0192387923957082
101111100000000000011111000110000000010001000000000000011111	1.6097785926330344	2.282378541287615	2.8674019707086242
100000010000000000111111100001101111000110000000000000011001	1.665905339933209	2.370527926673359	3.066375899506944
101110000000000000111100110000000000000001101111000110000011	1.665905339933209	2.2959789485818223	2.8938892514862897
110001100000000000111111000000001110000000011100000000011101	1.6097785926330344	2.222263240976879	2.7235470419328385
111000110000000110000000001110001111000000000000000111110001	1.6097785926330344	2.1959743096200937	2.749447275537284
111000000001110000000000000111110111110000000001100000000101	1.6097785926330344	2.2576989547363246	2.8202372479192093
101111000010000000001101100000000000000000111000000100111111	1.665905339933209	2.3909750693460796	3.05563102251916
110000100011100000000011111110010010000000000000111100000001	1.665905339933209	2.3575641574585755	3.011100105173834
110011111100000001000001110110000000000000000001111000000011	1.6097785926330344	2.2895069397680885	2.927518439626232
101000100000111000100000000011001000000000000011111000011111	1.7122405441921758	2.4820198639251365	3.1663139567862784
100000001110000001111111111111100000000000000001000000000001	1.4636488292592815	1.9251238169235343	2.3827200909608264
100011111100011110000000000001000000000000010110011110000001	1.665905339933209	2.3855411232815804	3.0749763380275246
100000000000000000010001111111110111000000001100000000001111	1.5428607535863514	2.141528338696016	2.7180966454429205
100000000000011100000000111110000001111000000011000000011111	1.5428607535863514	2.0896195416009036	2.617278537949324
111000000000000000000000000001111111100000111111100000000011	1.3697693284703485	1.8060355361651703	2.185804958975421
111001111111111000000000000000001111000000000000000110000001	1.4636488292592815	1.9474872829349215	2.4311181042111722
100011000000000000001100000000001111111110000000000110001111	1.5428607535863514	2.0896195416009036	2.581456713739386
100011000011111111100010000001100000000000110011000000000001	1.665905339933209	2.334098805752543	2.9524133850489225
100000000100000001000000000111111000000111111111001000000001	1.6097785926330344	2.195323699723425	2.792533769331537
100000000000000000000000000110011000000000011111111111100111	1.4636488292592815	1.9474872829349215	2.350592989894569
100000000001000000000001000000000011001111111111111100000001	1.5428607535863514	2.074437049855451	2.6001675496616072
111000001100111000000000000110000000011000111000000011110001	1.665905339933209	2.2668551069613336	2.848168148033895
111000000000000011100010000100001100000100000111110000001111	1.665905339933209	2.3765883479372003	3.0295912567076906
100111011100011111100000000000000000000000000000001111001011	1.6097785926330344	2.2576989547363246	2.7431406664114104
100000001000011111110111001100000000000001111000000000100001	1.665905339933209	2.3855411232815804	3.0968204169369375
111111000000001111100000000000000001100000010000000000111111	1.4636488292592815	2.0034374984148613	2.5326143506219374
100000000000011000000011111100111111111001000000000000000001	1.5428607535863514	2.0995409670850482	2.641120933813017
100000000011111101110001100000000000000111100000000001101001	1.665905339933209	2.363222647373031	3.0205433032209146
100000000000000010001010001111000110011100111111000000000001	1.7122405441921758	2.4820198639251365	3.2159142623937274
100000000001000000000010000011110101111110001111100000000001	1.665905339933209	2.3645464039903694	3.020946927378096
100000110000000110001111111011100011100000000000000000100001	1.665905339933209	2.370527926673359	3.0474866651939556
100000111111110000000000000001111110001100000011000000000001	1.5428607535863514	2.07099341295511	2.5817376335815534
111001000011111010011000000100000000000011000000011110000001	1.7122405441921758	2.491193466953403	3.2377583413031403
