	2bit	3bit	4bit
100000100011011000011001011101000100000000000111100100000001	1.798084668536076	2.6756126795070316	3.554160690493302
111000000100100000001000000000111100000011011100000010110101	1.7779887310739835	2.6118097714235162	3.408423940291195
100011000000000000001000001010010001001000011111000111000111	1.7779887310739835	2.59640135917511	3.3884164392381897
110000110000000110000000001110001111000000000000001111110001	1.6097785926330344	2.1959743096200937	2.749447275537284
100000000000001100000111100000111000000000011111100100000111	1.6097785926330344	2.250478783046476	2.892087664782545
101100100000111000000000000011001000000000000011111000011111	1.665905339933209	2.3982803486464075	3.0469810230862366
100000001110000001111111111111100000000000000001000000000001	1.4636488292592815	1.9251238169235343	2.3827200909608264
111111110000000000000000011000000000000000011111000111100001	1.4636488292592815	1.9474872829349215	2.4273511927272007
111101111111001000000000001100000000000000100000000001110101	1.665905339933209	2.355461833658779	3.0243683360490294
111111111110000000000000000000110011111100000000000000000001	1.3697693284703485	1.7658410736648797	2.1344929035125713
100000000000000000000111111111111111111000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
101100010000000010000000100101001111001100000010000100011011	1.8098206376783854	2.689269181120792	3.531760779747271
100001100100010110000000000011010001111000011010000010100001	1.8098206376783854	2.6999186183870925	3.5579190009870034
100111100000000000000111100000000001100111010001100010000011	1.7122405441921758	2.4764563467417937	3.1894269816160614
100000000000000111111110000000000001111110000000000000011111	1.3697693284703485	1.76584107366488	2.1518563899626257
110011111111000000000011100000111000000000000011100000000001	1.5428607535863514	2.0896195416009036	2.579719599769268
111100110000000000000000111111110000000000000011000110000101	1.6097785926330344	2.2767677144032614	2.7807723347735958
100000000000000000001100001000000000000000001111111111111111	1.3697693284703485	1.758214089685418	2.0926167341269477
100000000011110000000000001100000000011111111000000000011111	1.4636488292592815	1.9474872829349215	2.4273511927272002
111111111111000000000000000000111111100000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000000000000000001111111111111111111	1.1167220906908362	1.2216342052635718	1.3285080048968272
101000001000000000111111000000011000111000000000010111001001	1.7494563273816994	2.5674319618441044	3.333605299826451
111000000111000001000011010001001010001100010000100010000011	1.8098206376783854	2.659753203339488	3.3854492773255123
100000000101000000000000001011100000001111000011010011111001	1.7494563273816994	2.5583151803083926	3.341432059968754
