	2bit	3bit	4bit
100000100011011000011001011101000100000000000111100100000001	1.798084668536076	2.6756126795070316	3.554160690493302
101000000100000001000001000000000100000000000111011111111111	1.665905339933209	2.2949785780621075	2.8000681472766407
111111100000000000111111110011000000000000000000000000000111	1.3697693284703485	1.8060355361651703	2.218168961229518
100011111100000000000000000000000001111111111110000000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
101100001010001010100000000001001001101010000100101001010001	1.7298352257716236	2.5534191357555978	3.3669014198667093
101000100000100000100000001011001000011100100010110000010111	1.8130977911515196	2.6958859508677873	3.4270802909255473
111100011110000000000000000000111001111000000000100001000111	1.6097785926330344	2.2782312050195244	2.885239252053366
100011111100011110000000000001000000000000010110011110000001	1.665905339933209	2.3855411232815804	3.0749763380275246
111111111000000000000000000000000000000000000000011111111111	1.1167220906908362	1.3162353828714297	1.5161752170230298
100110100100000010110010010010000011100100000000100100000111	1.8130977911515196	2.6615722343488684	3.421908927055608
100001011110000001000000111001001110000000000001100000010111	1.7494563273816994	2.572440480041575	3.2813167034870454
110001000111100000000000000000000010000001111111110000001011	1.6097785926330344	2.2908306963854264	2.8430717610961183
100000000000001100010011110100011000000000011100011000111001	1.7494563273816994	2.529334874473	3.273407623021517
101000000000110001000100010011010000000000111010000111000111	1.798084668536076	2.670604161309561	3.341837105342513
101110001001000000000011101000000000100000111111100100000001	1.7494563273816994	2.5456884285882415	3.2530773969179783
100000000000111111110000000000000000000000000111111111100001	1.3697693284703485	1.7237313310647284	2.076584564428357
100010100000001000110000011010010011100000100000001110101001	1.8130977911515196	2.7180275459564815	3.5468590926945986
100001000010101000000011100000110001010010111010010001000001	1.8076089652310257	2.7048048786645587	3.5602268586150227
100000000000000000000010000001110111100000111111000001111001	1.6097785926330344	2.260911084428365	2.8641914137589195
100000000000000000111111110000000000000000000000011111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000101000000010001001010000101010000111010000010010110011	1.7927596152495757	2.6451730202809185	3.490504605088056
