	2bit	3bit	4bit
111111000000000000111100000000000000000000000000001111111111	1.2570817983090952	1.5921142889080948	1.9201271298222538
100000000000000000000000001111111101000000000000001111111111	1.3697693284703485	1.7402590209572224	2.0173714887703063
111111111111111000000000000000000000000000000000000000011111	1.1167220906908362	1.3162353828714297	1.5161752170230298
111111111111111111100000000000000000000000000000000000000001	1.1167220906908362	1.2216342052635718	1.3285080048968272
100000000000000000011110000000000000000000000111111111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
111111100000000000000000000000000000111111111111000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
111111111111111000000000000000000000000000000000001111000001	1.2570817983090952	1.5352110126094511	1.813952243316571
101111000001111101111111110000000000000000000000000000000001	1.4636488292592815	1.8665488983087384	2.218168961229518
100011111111111111110000000000000000001100000000000000000001	1.3697693284703485	1.7237313310647284	2.057529014828702
111100000000000000000000000000000000000000001111111111111111	1.1167220906908362	1.3162353828714297	1.5161752170230298
111000000000000000001100000000000000001111111111111100000001	1.3697693284703485	1.7658410736648797	2.150460260945552
100001111100000000000000000000000011111100000000000011111111	1.3697693284703485	1.76584107366488	2.1518563899626257
100000000000000000001111111111111000111110000000000000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
111111111000000000000000000000000000001111111100000000001101	1.3697693284703485	1.7478860049366842	2.069403106378089
111111111111110000000000000000111110000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
111111000000000111111100000000000000000000000000000001111111	1.2570817983090952	1.5921142889080948	1.9201271298222538
100000011111111110000000000000000000000000111111110000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
101111111111111111110000000000000000000000000000000000000001	1.2570817983090952	1.4312607446401384	1.5395451196726189
100000000000000000000000000000001111111111000000011111111001	1.3697693284703485	1.7237313310647284	2.0606172069953756
100000000000000000000000000000011111111111110000000000111111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000000000011111111111111111100000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000000000000000000000000000000001111111111111111111	1.1167220906908362	1.2216342052635718	1.3285080048968272
111111110000000000000000000000000000001111111100000000001111	1.2570817983090952	1.5921142889080948	1.9201271298222538
100000000000000000000000000011111100000000001111111111110001	1.3697693284703485	1.7237313310647284	2.076584564428357
111111111001111000000000000000000000000000000011111100000001	1.3697693284703485	1.7658410736648797	2.1358890325296445
