	('E. Coli k12', 'E. Coli BW25113')	('E. Coli k12', 'Pichia sorbitophila')	('E. Coli BW25113', 'Pichia sorbitophila')	entropies
000001110100000000110000001010100000111001011101000000011001	4561005	8	8	3.5279061898620374
100011001100000000010100000001001011011100001000100011000110	4561508	11	11	3.5420830376263135
000110010101000001000101010000001111100001000010010101001000	4561019	12	11	3.5215138583282344
101001000000110000011010000001001100010100011011000100110000	4561314	15	15	3.4850031727765205
101000010110110011100010000001100000101101000000000110000001	4561346	6	6	3.4775900242371565
010100111100111000010001010101000100011010000100000000001000	4560696	8	8	3.5992718145655958
101100011100010100100100010000000111010000000000010101010010	4561470	11	11	3.558803892361555
010001011101011100100000100010010000000010100000000000111101	4561442	13	13	3.462594358056923
000000110011001100100100111000000010000000000011101010100011	4561008	6	6	3.468989585716577
000010000000000011000100000111010111000001010010001010011011	4560198	12	12	3.6099237813583915
000111011010111000001011001000010101001000001000000000100100	4560679	8	8	3.6383407116267135
000011111101000011000100001010100000000111001000000010000110	4561131	12	12	3.5454094655098625
101001001100100010011011000001001000100010111001000010000000	4560611	12	12	3.5022040498176805
010100011000010010111010000100010000000110010010001001001010	4561271	6	6	3.539777899819019
011010011100000100110101000110000100000000000000100010110110	4561143	10	10	3.5520796051639683
000100010110000001100000010100100000001001101110001001010110	4561204	19	19	3.6247411744635523
010000000000101010010000000110000101111010011000100000011110	4560908	13	13	3.592592770937924
001000001000101100101011000000100101000000010111101000001010	4560900	11	11	3.5320596328522655
110000001010000001100000010000111000001000111100000110101010	4561663	9	9	3.43165141198749
010000000110000001000101010011110100000010001100000101100110	4561099	8	8	3.6238829440202682
001000010111010000010100111001000001100000010000010001010110	4561212	6	6	3.619644787525775
010110101100100101100000000000100011010000000101101000100001	4561283	10	10	3.452825212193774
010001010100101100000010001010110000010011000100000100010101	4561587	11	11	3.3833200523004123
011001000100001001001010011011011000100100100000010010000001	4561074	12	12	3.3248055974028587
010100100010001000000001001100110010100100110001111000001000	4560985	4	4	3.5401348054970114
000110000000011100001110010000001000111001100000100001101001	4561168	16	16	3.4280713745688627
010001000100000001000101011000110011010000000011001001110001	4561135	13	13	3.5924234018364163
001101010100010000011101000111100000000000000001100101000011	4561324	17	17	3.461075112411922
010001000100000000010001000001001011100010001101001101110001	4561098	17	17	3.5232148482980183
010100001010001010100011100000100100011100000000011001000110	4561564	10	10	3.522247963239926
010101100001100001100001101010001000000010111000010010000001	4561303	12	12	3.572074369986782
101011011000100100010010100000000101001000000001011010011000	4561399	11	11	3.5015430346159633
