	('e_coli.fa.gz', 'e_coli_BW25113.fa')	('e_coli.fa.gz', 'Pichia_sorbitophila.fa')	('e_coli_BW25113.fa', 'Pichia_sorbitophila.fa')	entropies
000000000000000000000011100011000000100101101011010111011011	0	0	0	2.5189458889264515
000000000000000000010001100011110001001111111000111000000011	0	0	0	2.3582856053890313
000000000000000011111100010000111100000001111100100100010010	0	0	0	2.455530134171381
000000000000000100000000010100000000000111111101111100111011	0	0	0	2.333320238570084
000000000000000111100000111011110000000101111011000000000011	0	0	0	2.320702998641477
000000000000100011111100000000001101101100000110000101110001	0	0	0	2.5372930949829855
000000000000110000011100111110001100000100111110100000000001	0	0	0	2.476456346741794
000000000000110111011100000000001110110001000011111100000000	0	0	0	2.4130174688580164
000000000000111111111000011000000010001100000100000011110001	0	0	0	2.3424289754141348
000000000001011000000011100000110011100111000010011100000011	0	0	0	2.5329004968095603
000000000010000000001000000110111000011111000100001110011110	0	0	0	2.5333945747572577
000000000011000011011100110000011011010111100000110000000000	0	0	0	2.512924642225075
000000000011001000001100001000100001011011010110100000011011	0	0	0	2.6203839119575467
000000000011100000000000000111111100000010100001110001011011	0	0	0	2.4655240474376163
000000000011100110000001011100001000010000100011111110001000	0	0	0	2.625225981210434
000000000011110011000100010001000000001000001001110001111110	0	0	0	2.5471341706417996
000000000110010101001100100100111101100000000001100110010000	0	0	0	2.7574683943971983
000000000110010101010001001001001001001010010100101000011001	0	0	0	2.5406411209725293
000000000110111100001001101011101000000000100111000000001010	0	0	0	2.693056727603061
000000001001100110100110001111000010000100000111000000001011	0	0	0	2.6777770232983977
000000001110101111000010000100000011111100000111100000000000	0	0	0	2.4663443376157392
000000010000000000000011110000000010111111000011111010000011	0	0	0	2.3708313691041676
000000010011100010110000010110000101001100010000110001100100	0	0	0	2.746466464143165
000000010100001101010010101000001010000100100011010110001010	4560819	14	14	2.6114892315185396
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
000000010100100001010010101010100001010101000010001010101010	0	0	0	2.190307069248857
