	('e_coli.fa.gz', 'e_coli_BW25113.fa')	('e_coli.fa.gz', 'Pichia_sorbitophila.fa')	('e_coli_BW25113.fa', 'Pichia_sorbitophila.fa')	entropies
000000000000011110000110000001110111000010001000100000111110	0	0	0	2.5333945747572577
000000000000110000000100111111011110000000111010000010000101	0	0	0	2.554150095477597
000000000001000000111111001100101000100100000001010011110010	0	0	0	2.681093102419592
000000000001100100001110011010000100001100010010000001110111	0	0	0	2.6777770232983977
000000000011000011000001100111000001100011100000011011000011	0	0	0	2.371382125184549
000000000011000011000001100111000001100011100000011011000011	0	0	0	2.371382125184549
000000000011000011000001100111000001100011100000011011000011	0	0	0	2.371382125184549
000000000011000011000001100111000001100011100000011011000011	0	0	0	2.371382125184549
000000000011000011000001100111000001100011100000011011000011	0	0	0	2.371382125184549
000000000011000011000001100111000001100011100000011011000011	0	0	0	2.371382125184549
000000000011000011000001100111000001100011100000011011000011	0	0	0	2.371382125184549
000000000011000011000001100111000001100011100000011011000011	0	0	0	2.371382125184549
000000000011000011000001100111000001100011100000011011000011	0	0	0	2.371382125184549
000000000011000011000001100111000001100011100000011011000011	0	0	0	2.371382125184549
000000000011000011000001100111000001100011100000011011000011	0	0	0	2.371382125184549
000000000011000011000001100111000001100011100000011011000011	0	0	0	2.371382125184549
000000000011000011000001100111000001100011100000011011000011	0	0	0	2.371382125184549
000000000011000011000001100111000001100011100000011011000011	0	0	0	2.371382125184549
000000000011000011000001100111000001100011100000011011000011	0	0	0	2.371382125184549
000000000011000011000001100111000001100011100000011011000011	0	0	0	2.371382125184549
000000000111000010110100011001000111110000000100110010001000	0	0	0	2.739940374349575
000000000111001000001100001100110000100001001101110000001110	0	0	0	2.620383911957547
000000001011000000001111000000011010110000111010011011000000	0	0	0	2.622057023993863
000000001100000111111111100001000000000000000010010111011000	0	0	0	2.4663443376157392
000000001111001000011011000101101100000010110000000000010011	0	0	0	2.6436703998261777
000000001111100000000110000000000000001110011010111111000100	0	0	0	2.467463847379027
000000001111110001101010001111010000000010000011100000010000	0	0	0	2.632507073938457
000000010000000001010010000010000000000011111111111010101010	0	0	0	2.4387218400906243
000000010000110010101010100010001111001000010001000000011110	0	0	0	2.7416835939648623
000000010100001100010010011010010101010010010101001000010001	0	0	0	2.5548496167236903
000000010110110110110101110101100000000000000001010110000000	0	0	0	2.441239782206458
000000011000001111000110011000010001100000011000001100110001	0	0	0	2.4409608596171983
000000011000100001101110000010010000001101000000100001111101	0	0	0	2.694636869985657
000000011001000110111000100110001000010001011000011100100000	0	0	0	2.7378450139081227
000000011010011001001011000100000001011001100100000001101010	0	0	0	2.700075555540132
000000011100000001101101001010010000000011010101000001010110	4560767	18	18	2.692831957264705
000000011111001100001100001110000001100011001000011000000001	0	0	0	2.4452260031998514
000000011111001110001101010100000000000000111011000000010010	0	0	0	2.657982678475464
000000100000100010110010100100000011110000001101010000100111	0	0	0	2.726479701054293
000000100001101100010100010100000000101001001101010001011001	0	0	0	2.6711203708771913
000000100010000000010101010100100101000100001011101010001011	0	0	0	2.558196041064821
000000100101000100000100100011000011100100101010010011100100	0	0	0	2.696307541033394
000000100110111000111000000000101110110100110000000000101000	0	0	0	2.7157062650120753
000000101010101010101000100110000100100000001001010101000011	0	0	0	2.475675231126136
000000101100010101001010101001001010000010010000101000010101	0	0	0	2.4397909214764675
000000110000001010001100101101010010000110101010100000001100	0	0	0	2.6900235674283706
000000110001100100001100010100110011001010000000000110111000	0	0	0	2.716377284565087
000000110001111001000000110001000001000100011011000000110011	0	0	0	2.62314499209287
000000111001001001000000000111000011111100000000000011110001	0	0	0	2.436507340405599
000000111001001111100000011011000000010110110000000000100100	0	0	0	2.697359058955542
000000111111100000000011001100110000001101100000011000000001	0	0	0	2.3722866229492694
000000111111100000000011001100110000001101100000011000000001	0	0	0	2.3722866229492694
000000111111100000000011001100110000001101100000011000000001	0	0	0	2.3722866229492694
000000111111100000000011001100110000001101100000011000000001	0	0	0	2.3722866229492694
000000111111100000000011001100110000001101100000011000000001	0	0	0	2.3722866229492694
000000111111100000000011001100110000001101100000011000000001	0	0	0	2.3722866229492694
000000111111100000000011001100110000001101100000011000000001	0	0	0	2.3722866229492694
000000111111100000000011001100110000001101100000011000000001	0	0	0	2.3722866229492694
000000111111100000000011001100110000001101100000011000000001	0	0	0	2.3722866229492694
000001000000010111010000010001000100000110010101010111001100	0	0	0	2.776445547658597
000001000100100101111100100000100000101001010000101001010010	0	0	0	2.5948695180022994
000001001001010100001011101010001010100100100101001000000100	0	0	0	2.527899768440044
000001001001010100010000010101010100010010100100010101100100	0	0	0	2.43460406496084
000001001010100000101010001010101101001001001010000101000010	0	0	0	2.429342998699532
000001001110001100000010000100100011000100000110000011111001	0	0	0	2.5965913364524695
000001001111100010000000000011000101011100000010010110001100	0	0	0	2.751178129424259
000001010001000010100001001011010101010100101000100010101000	0	0	0	2.4240819324382246
000001010001001010110101000010010011001000000010010001011010	0	0	0	2.629836437575073
000001100000001100011001010001111100001100111000000011000000	0	0	0	2.5900217746592893
000001100000110101100000001010111100000001100111000000000101	0	0	0	2.6416806769667236
000001100110000000000011001000001111111000010010011100001000	0	0	0	2.578217755870513
000001100110011100110000100000000111011100011000001100000000	0	0	0	2.5305059368427885
000001101000100101110000110100010000010000011100000100101100	0	0	0	2.7842235645269646
000010000010000010011000000011110010111010110001100000001010	0	0	0	2.754743751760819
000010000011000000010011000110001100110000100001101001001110	0	0	0	2.6478837858667594
000010000110100100101010001010010000101000010010001100101001	0	0	0	2.5406411209725293
000010001001010001001110100100010010100010010010001001001001	0	0	0	2.4043137572051427
000010001001010001001110100100010010100010010010001001001001	0	0	0	2.4043137572051427
000010001001010001001110100100010010100010010010001001001001	0	0	0	2.4043137572051427
000010001001010001001110100100010010100010010010001001001001	0	0	0	2.4043137572051427
000010001010110000000100100001001001110100011001011000000101	4561089	6	6	2.7341726103121817
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
000010001111001111111100000000000000110000000011110000100000	0	0	0	2.3329764497966083
