seeds	e_coli.fa.gz, e_coli_BW25113.fa	e_coli.fa.gz, Pichia_sorbitophila.fa	e_coli_BW25113.fa, Pichia_sorbitophila.fa	entropies
000010110110001110000110000001110100000010001010000110100000	4560309	16	16	2.75190242355
011000010001000001100100010001000000011100000110000001011111	4561663	6	6	2.64045293646
100101010101000010101010010101010100100001010000000010010000	4561046	6	6	2.23037397397
100110100000010000100010010100100001100100111000110100000001	4561040	10	10	2.68565225273
101010001001010100100000010010001010010000010000101010100101	4561898	13	13	2.27038987889
101000110001010010000100000000010101001000000111001011101000	4561438	8	8	2.72690129122
010011000111000001001000000000000010001000001110010011111001	4561183	10	10	2.5774878894
000010001001011001011001010010101010010010001000100000001010	4560160	12	12	2.54515695794
110000100110010001001000110100011001000001100011001000000001	4561394	12	12	2.55775066953
100100110010100000000110110010100100001000010101001010000001	4561226	6	6	2.62038391196
110110101010011010000010010001000010100010100000010000101000	4561230	4	4	2.58401288594
100011001001100001000101000100000000100001100011000111101000	4561126	12	12	2.71757075104
100010001001010001010100101001000101001010001001010000010010	4561349	13	13	2.23037397397
101000000101000100010100100001010100100110011001000001000110	4561547	6	6	2.61052966007
000000000000111100100000111111001000001110100000010010000110	4559725	9	9	2.59901366766
101010100100000010000010101000010100101011010110101000000000	4560633	17	17	2.46587195338
110000011000100111000001100101000010010010000100100010010100	4561479	18	18	2.63464562167
100101001001001010100010010010100100100011010010001000100000	4561069	17	17	2.37252102143
010101010101001000000101000101010010001001010001010001000001	4561314	7	7	2.25380338245
101010000000000101010100010101010000001010100101010100100010	4561538	11	11	2.18317309843
101010000000000101010100010101010000001010100101010100100010	4561538	11	11	2.18317309843
101010000000000101010100010101010000001010100101010100100010	4561538	11	11	2.18317309843
110011000000000000000110001000000100000010110011111111100000	4560691	13	13	2.49119346695
010001100000100000110100000011000010010011101101110000100000	4560657	14	14	2.73949500282
001100111000000000000000000001000001000010000011101111111101	4560866	13	13	2.47719244939
101001000101001010010101010100001010100001010001000101000000	4561009	11	11	2.24854231619
111001000101111000000000000000110101111011000100000000000001	4560822	13	13	2.53642936462
100100000111000100010011100000000110111100000000011000000011	4561410	18	18	2.54908051288
000000100001010010101001001000100010101001100101000010100011	4560953	17	17	2.49628683973
000010000010011010010101010001000101010100001010101010000100	4560685	7	7	2.42408193244
110000000000000000000001110000010001111000111101001100000111	4561019	10	10	2.40745395167
001001010100000101001010000001010010000101010101010000011010	4561360	9	9	2.41343905902
000100100010101010100100100101000000001000010101010101010100	4561064	9	9	2.2256121528
100100000000001010001001011111111111000100000000010000000001	4560065	12	12	2.41793136765
000010010000010100000100110101001010100010101010010001010001	4560990	9	9	2.44731639028
100000010010101010101001001000101010010100101000100000010010	4561260	12	12	2.25629495004
110000010100010010101010000000000001001000101010110010100101	4561754	15	15	2.48322163511
011001000010101000101000000101001010010001000000101100100101	4561573	7	7	2.55258521418
001000010001001010100100010010010100001010100101010010001001	4561296	10	10	2.21765585705
110001010110100000001111000011110000000001100000100010000001	4561343	16	15	2.62834198911
100101000010101001010100101000010010101010000000010101000010	4561577	11	12	2.24101684738
110001100000011011100100000000001100010011001001100100001000	4561279	6	6	2.62469139188
111010000000000110000100000001110000000000111011011110100000	4560929	11	10	2.52513588131
010000111100000111100000010010010100000001001000111100000100	4561050	8	8	2.65407054691
111111000000000100011100000001111100010010010000000100000001	4561252	18	18	2.40274602972
010010101010000101001001001001010001000001010100100101100000	4560974	11	11	2.4293429987
100100011000011000000100100100100100000110000100000111001110	4561333	8	8	2.5905116097
100100000001100000000001110011000000111111100110001000100000	4560347	17	17	2.51107126964
000100010100100100100100101000100010101001001001010100001001	4560981	19	19	2.18317309843
000100010100100100100100101000100010101001001001010100001001	4560981	19	19	2.18317309843
